City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,29-01-2015,83.13,117.78799124758196,6.93,28.71,33.72,26.547566684365343,6.93,49.52,59.76,0.02,0.0,3.14,209.0,Poor
Ahmedabad,30-01-2015,79.84,131.70701870285234,13.85,28.68,41.08,35.57725814949397,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor
Ahmedabad,31-01-2015,94.52,165.00985990159154,24.39,32.66,52.61,53.36211782669102,24.39,67.39,111.33,0.24,0.01,7.67,514.0,Severe
Ahmedabad,01-02-2015,135.99,215.63513543787136,43.48,42.08,84.57,42.99511258205631,43.48,75.23,102.7,0.4,0.04,25.87,782.0,Severe
Ahmedabad,02-02-2015,178.33,241.39767708447863,54.56,35.31,72.8,48.51898033106984,54.56,55.04,107.38,0.46,0.06,35.61,914.0,Severe
Ahmedabad,03-02-2015,139.7,232.589093505609,30.61,28.4,56.73,65.05031845256723,30.61,33.79,73.6,0.17,0.03,11.87,660.0,Severe
Ahmedabad,04-02-2015,80.65,203.79438270197815,2.37,22.83,24.0,28.14324582453493,2.37,25.73,47.3,0.0,0.0,0.0,294.0,Poor
Ahmedabad,05-02-2015,58.36,102.0294298717831,2.6,21.39,23.31,24.951006840427645,2.6,32.66,53.54,0.0,0.0,0.0,149.0,Moderate
Ahmedabad,06-02-2015,79.29,146.82332719495236,1.16,26.94,26.83,21.188321102072813,1.16,67.41,59.3,0.0,0.0,0.0,190.0,Moderate
Ahmedabad,07-02-2015,88.7,132.6713117394516,7.29,31.32,37.73,38.140209704956256,7.29,80.09,44.76,0.0,0.0,0.0,247.0,Poor
Ahmedabad,08-02-2015,74.28,194.7049460836722,8.92,27.3,33.42,41.810147334281496,8.92,54.28,47.42,0.0,0.0,0.27,379.0,Very Poor
Ahmedabad,09-02-2015,113.93,236.2635332085989,4.32,24.27,26.86,24.310823258276443,4.32,48.73,39.94,0.02,0.0,3.55,341.0,Very Poor
Ahmedabad,10-02-2015,105.39,205.50810857385855,1.41,18.21,18.75,16.370550838422734,1.41,35.91,56.15,0.0,0.0,3.31,256.0,Poor
Ahmedabad,11-02-2015,66.52,239.76532547309296,6.34,23.8,28.24,-13.49147471,6.34,66.58,53.14,9.7,9.63,16.49,388.0,Very Poor
Ahmedabad,12-02-2015,65.04,95.87463646384936,14.19,30.1,44.21,54.80188376355937,14.19,65.91,31.88,7.72,17.46,2.51,288.0,Poor
Ahmedabad,13-02-2015,103.36,216.36450563523888,18.18,39.56,57.33,69.03242374492696,18.18,80.43,40.11,11.29,24.35,3.35,510.0,Severe
Ahmedabad,14-02-2015,177.33,260.2716729476366,37.49,47.58,77.85,123.88678284109182,37.49,99.72,36.47,17.0,52.66,6.98,761.0,Severe
Ahmedabad,15-02-2015,113.25,227.59540249841604,15.55,30.5,44.87,65.62200332620813,15.55,69.71,33.78,10.47,28.53,3.22,475.0,Severe
Ahmedabad,16-02-2015,99.7,224.82942700536609,19.85,28.1,47.31,72.5573429968246,19.85,73.23,30.57,10.28,31.25,4.0,536.0,Severe
Ahmedabad,17-02-2015,80.61,205.5880253462932,15.96,21.04,35.67,63.61124589547299,15.96,54.7,36.2,8.14,18.75,2.52,479.0,Severe
Ahmedabad,18-02-2015,100.79,294.18910692503124,16.24,25.93,41.91,64.34008792163806,16.24,43.11,37.43,10.0,32.41,4.04,592.0,Severe
Ahmedabad,19-02-2015,107.99,229.656049197854,11.25,30.09,40.47,51.33696813817161,11.25,84.86,31.94,9.2,24.03,3.25,427.0,Severe
Ahmedabad,20-02-2015,140.29,155.6687718955256,33.84,36.14,68.85,109.40353096996114,33.84,101.53,40.98,20.12,43.51,7.48,588.0,Severe
Ahmedabad,21-02-2015,239.96,320.68026292735004,61.95,46.25,106.92,170.77619503129895,61.95,84.87,33.55,22.14,53.98,15.44,1141.0,Severe
Ahmedabad,22-02-2015,142.96,113.1342767561567,45.45,48.21,92.32,123.5692432425126,45.45,62.96,34.77,7.35,22.4,8.47,669.0,Severe
Ahmedabad,23-02-2015,238.41,322.5256356446574,77.7,55.07,131.32,200.9273238126232,77.7,89.07,37.3,50.61,163.64,28.46,1247.0,Severe
Ahmedabad,24-02-2015,118.72,228.37350541100105,12.56,32.01,42.56,56.392835294613576,12.56,61.54,38.8,16.89,46.52,6.05,411.0,Severe
Ahmedabad,25-02-2015,52.99,194.59732137269933,2.23,10.45,10.39,25.8392325599361,2.23,32.76,67.25,3.85,11.39,0.81,292.0,Poor
Ahmedabad,02-03-2015,60.78,70.05616654199984,9.07,18.21,27.34,45.03769059261665,9.07,29.48,34.75,2.05,0.55,0.22,189.0,Moderate
Ahmedabad,03-03-2015,91.83,187.98361715401825,12.99,28.71,40.76,51.27187184320438,12.99,39.71,38.46,2.69,1.74,2.25,408.0,Severe
Ahmedabad,04-03-2015,93.88,122.59998331730496,18.21,29.38,47.01,68.01858151274712,18.21,62.75,46.79,5.21,2.55,1.55,383.0,Very Poor
Ahmedabad,05-03-2015,173.01,145.81771647687793,48.44,42.27,90.73,149.500350091412,48.44,78.76,59.39,9.72,9.96,4.13,780.0,Severe
Ahmedabad,08-03-2015,71.56,127.44372016616684,3.51,16.83,20.32,31.512259146235728,3.51,30.28,57.16,3.95,8.01,0.63,190.0,Moderate
Ahmedabad,09-03-2015,119.8,173.72293259430126,4.13,24.07,27.9,36.69110157065113,4.13,50.35,50.49,4.85,12.15,1.35,233.0,Poor
